政府統計コード	政府統計名	作成機関	担当部局課室名	統計の種類	提供周期	データ一覧	統計表ファイル	データベース	作成機関情報
00400201	子供の学習費調査	文部科学省	総合教育政策局調査企画課	一般統計	１回限り	?登録あり	〇	〇	?作成機関情報
00400202	地方教育費調査	文部科学省	総合教育政策局調査企画課	一般統計	年、２年	?登録あり	〇	〇	?作成機関情報
00400203	２１世紀出生児縦断調査（平成１３年出生児）	文部科学省	生涯学習政策局政策課調査調整企画室	一般統計	年	?登録あり	〇	-	?作成機関情報
00400301	教育職員に係る係争中の争訟事件等の調査	文部科学省	初等中等教育局初等中等教育企画課	業務統計	年	?登録あり	〇	〇	?作成機関情報
00400302	教職員の組織する職員団体の実態調査	文部科学省	初等中等教育局初等中等教育企画課	業務統計	年	?登録あり	〇	〇	?作成機関情報
00400303	高等学校卒業（予定）者の就職（内定）状況に関する調査	文部科学省	初等中等教育局児童生徒課	一般統計	年３回	?登録あり	〇	〇	?作成機関情報
00400304	"児童生徒の問題行動・不登校等生徒指導上の
諸課題に関する調査"	文部科学省	初等中等教育局児童生徒課	一般統計	年	?登録あり	〇	〇	?作成機関情報
00400305	日本語指導が必要な児童生徒の受入状況等に関する調査	文部科学省	総合教育政策局男女共同参画共生社会学習・安全課	業務統計	２年	?登録あり	〇	〇	?作成機関情報
00400306	学校における教育の情報化の実態等に関する調査	文部科学省	初等中等教育局情報教育・外国語教育課	一般統計	年	?登録あり	〇	〇	?作成機関情報
00400401	大学・短期大学・高等専門学校におけるインターンシップ実施状況等調査	文部科学省	高等教育局専門教育課	一般統計	１回限り	?登録あり	〇	-	?作成機関情報
00400402	大学・短期大学・高等専門学校及び専修学校卒業予定者の就職内定状況等調査	文部科学省	高等教育局学生・留学生課	一般統計	年４回	?登録あり	〇	〇	?作成機関情報
00400501	民間企業の研究活動に関する調査	文部科学省	科学技術・学術政策研究所	一般統計	年	?登録あり	〇	〇	?作成機関情報
00400502	大学等におけるフルタイム換算データに関する調査	文部科学省	科学技術・学術政策局企画評価課	一般統計	５年	?登録あり	〇	〇	?作成機関情報
00400503	全国イノベーション調査	文部科学省	科学技術・学術政策研究所	一般統計	２年	?登録あり	〇	〇	?作成機関情報
00400504	ポストドクター等の雇用・進路に関する調査	文部科学省	科学技術・学術政策局人材政策課	一般統計	３年	?登録あり	〇	-	?作成機関情報
00400601	学術情報基盤実態調査	文部科学省	研究振興局参事官（情報担当）付	一般統計	年	?登録あり	〇	-	?作成機関情報
